name,neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,city
Fiola by Fabio Trabocchi,Penn Quarter,,,,,,,,,,,,1,1,DC
Kinship,Mount Vernon Square,,,,,,,,,,,,1,1,DC
Komi,Dupont Circle,,,,,,,,,,,,,1,DC
Masseria,Union Market,,,,,,,,,,,,1,1,DC
Métier,Mount Vernon Square,,,,,,,,,,,,,1,DC
Minibar by José Andrés,Penn Quarter,,,,,,,,,,,,2,2,DC
Pineapple & Pearls,Eastern Market,,,,,,,,,,,,2,2,DC
Plume,Downtown,,,,,,,,,,,,1,1,DC
Rose's Luxury,Eastern Market,,,,,,,,,,,,1,1,DC
Sushi Taro,Dupont Circle,,,,,,,,,,,,1,1,DC
Tail Up Goat,Adams Morgan,,,,,,,,,,,,1,1,DC
The Dabney,Mount Vernon Square,,,,,,,,,,,,1,1,DC
The Inn at Little Washington,"Washington, Virginia",,,,,,,,,,,,2,2,DC
